Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18288109379,"Apr 28, 2026, 6:06:35 AM",Morning Swim,Swim,,3157,"1,900",172.0,55,false,,,activities/19391525237.fit.gz,,,3157.0,2017.0,1900.0,3.14,0.942,0.0,0.0,0.0,0.0,0.0,0.0,,,,,172.0,139.0,,,762.0,,28.0,55.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.602,0.0,,,,,0.0,50.0,,,,,,0.0,0.0,,,,0.0,,,,""
18281780933,"Apr 27, 2026, 5:04:48 PM",Evening Run,Run,,2955,10.20,168.0,64,false,,Nike Vomero 18,activities/19385180818.fit.gz,,,2955.0,2882.0,10203.6,4.36,3.54,38.0,33.0,13.8,26.4,10.6,0.0,,,84.0,80.0,168.0,154.0,,457.0,834.0,,16.0,64.0,1318013.0,,,,,,,,456.0,2957.0,,,0.0,,1.0,10292.1,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,3.453,4038.5,,,,7652.0,0.0,,965.0,343.0,3.571,,,,,,,,,,,,""
18266036023,"Apr 26, 2026, 11:01:44 AM",Afternoon Ride,Ride,Godt vejr til sådan en cykeltur,7617,60.02,171.0,139,false,,Orbea ,activities/19369260054.fit.gz,,12.0,7617.0,6499.0,60021.9,15.0,9.236,289.0,283.0,-5.0,29.2,20.5,0.0,,,,,171.0,153.0,,,1718.0,,16.0,139.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,16151008.0,,,,,,,,,,,,7.88,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,media/9706BC60-37E2-4DA1-8976-FD08C88CD115.jpg|media/9850392B-6857-4DD8-A8D3-65DBB46D85B7.jpg
18251954454,"Apr 25, 2026, 11:56:00 AM",One day❌ day one✅,Swim,Avg. pace kæmpe cap nok mere 2:10,3738,"1,750",171.0,31,false,,,activities/19354993763.fit.gz,,,3738.0,1777.0,1750.0,5.56,0.985,0.0,0.0,0.0,0.0,0.0,0.0,,,,,171.0,123.0,,,509.0,,28.0,31.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.0,,,,,0.0,50.0,,,,,,0.0,0.0,,,,0.0,,,,""
18240058317,"Apr 24, 2026, 1:33:46 PM",Afternoon Run,Run,,5120,15.24,160.0,40,false,,Nike Vomero 18,activities/19342980162.fit.gz,,,5120.0,4684.0,15239.8,5.16,3.254,50.0,46.0,-0.8,10.0,18.0,0.0,,,82.0,78.0,160.0,144.0,,425.0,1230.0,,22.0,40.0,1985569.0,,,,,,,,413.0,5121.0,,,0.0,,1.0,15522.7,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,2.977,517.2,,,,12108.0,0.0,,1373.0,311.0,3.314,,,,,,,,,,,,""
18207800696,"Apr 22, 2026, 5:40:10 AM",Morning Run,Run,,3550,10.28,147.0,14,false,,Nike Vomero 18,activities/19310490089.fit.gz,,,3550.0,3420.0,10279.5,5.36,3.006,61.0,51.0,9.4,33.2,12.8,0.0,,,85.0,79.0,147.0,135.0,,395.0,816.0,,17.0,14.0,1351702.0,,,,,,,,390.0,3550.0,,,0.0,,1.0,10436.5,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,2.896,4464.0,,,,8940.0,0.0,,847.0,293.0,3.052,,,,,,,,,,,,""
18200235586,"Apr 21, 2026, 3:20:38 PM",Afternoon Run,Run,,4989,15.24,168.0,37,false,,Nike Vomero 18,activities/19302895269.fit.gz,,,4989.0,4702.0,15245.2,5.52,3.242,87.0,84.0,8.0,35.6,16.4,0.0,,,93.0,78.0,168.0,143.0,,420.0,1211.0,,22.0,37.0,1976907.0,,,,,,,,414.0,4990.0,,,0.0,,1.0,15482.2,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,3.056,7710.3,,,,12308.0,0.0,,1341.0,311.0,3.293,,,,,,,,,,,,""
18193824743,"Apr 21, 2026, 6:33:39 AM",Morning Swim,Swim,3x400m med fokus på form (hvad end det betyder),2789,"1,300",178.0,51,false,,,activities/19296441203.fit.gz,,,2789.0,1528.0,1300.0,2.64,0.851,0.0,0.0,0.0,0.0,0.0,0.0,,,,,178.0,143.0,,,381.0,,28.0,51.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466,0.0,,,,,0.0,50.0,,,,,,0.0,0.0,,,,0.0,,,,media/9B04DCB0-ADA3-4DD0-8686-17B28A450D28.jpg
18161157335,"Apr 18, 2026, 2:20:24 PM",Afternoon Run,Run,,7337,25.00,167.0,183,false,,Nike Vomero 18,activities/19263429121.fit.gz,,,7337.0,7329.0,25006.5,5.94,3.412,75.0,76.0,18.2,30.6,12.8,0.0,,,100.0,80.0,167.0,157.0,,437.0,2052.0,,21.0,183.0,3199606.0,,,,,,,,437.0,7336.0,,,0.0,,1.0,25206.8,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,3.408,14204.3,,,,19690.0,0.0,,2202.0,329.0,3.439,,,,,,,,,,,,""
18141008812,"Apr 17, 2026, 5:35:03 AM",Morning Run,Run,Glemte uret men Virkelig lækkert vejr,2081,6.40,,,false,,Nike Vomero 18,activities/18141008812.gpx,,,2081.0,1792.0,6400.0,5.46,3.571,27.9,27.5,13.4,33.3,14.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6475.3,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,3.075,3533.5,,,,4652.0,0.0,,,,3.613,,,0.0,0.0,,,,0.0,,,,media/70EB63CD-1925-4777-80AE-F6E0F9AC3AF1.jpg
18122982524,"Apr 15, 2026, 5:18:36 PM",Evening Run,Run,,6118,15.07,154.0,24,false,,Nike Vomero 18,activities/19224935503.fit.gz,,,6118.0,4841.0,15074.7,5.74,3.114,55.0,39.0,5.2,30.2,31.2,0.0,,,86.0,80.0,154.0,138.0,,399.0,1200.0,,19.0,24.0,1930212.0,,,,,,,,389.0,5173.0,,,0.0,,1.0,15216.1,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,2.464,0.0,,,,12858.0,0.0,,1227.0,292.0,3.143,,,,,,,,,,,,""
18107624989,"Apr 14, 2026, 3:59:07 PM",Afternoon Run,Run,,4920,15.04,156.0,25,false,,Nike Vomero 18,activities/19209483118.fit.gz,,,4920.0,4711.0,15044.0,5.06,3.193,79.0,71.0,17.2,46.0,13.5,0.0,,,88.0,79.0,156.0,135.0,,412.0,1175.0,,18.0,25.0,1940334.0,,,,,,,,407.0,4922.0,,,0.0,,1.0,15230.4,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,3.058,3313.8,,,,12396.0,0.0,,1280.0,306.0,3.233,,,,,,,,,,,,""
18080793394,"Apr 12, 2026, 12:17:04 PM",Afternoon Run,Run,,7593,20.00,158.0,62,false,,Nike Vomero 18,activities/19182423054.fit.gz,,,7593.0,6236.0,20004.5,5.04,3.208,94.0,72.0,6.4,30.0,11.1,0.0,,,111.0,81.0,158.0,145.0,,420.0,1623.0,,17.0,62.0,2612232.0,,,,,,,,403.0,6953.0,,,0.0,,1.0,20308.3,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,2.635,1119.7,,,,16752.0,0.0,,1773.0,303.0,3.257,,,,,,,,,,,,""
18050096745,"Apr 10, 2026, 6:07:11 AM",Morning Run,Run,,2574,7.63,165.0,45,false,,Nike Vomero 18,activities/19151387900.fit.gz,,,2574.0,2418.0,7629.5,4.86,3.155,48.0,65.0,3.0,26.8,23.6,-0.3,,,83.0,79.0,165.0,152.0,,433.0,651.0,,15.0,45.0,1046687.0,,,,,,,,419.0,2576.0,,,0.0,,1.0,7930.0,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,2.964,186.0,,,,6356.0,0.0,,710.0,315.0,3.28,,,,,,,,,,,,""
18045164153,"Apr 9, 2026, 6:04:16 PM",Evening Run,Run,Endeligt færdig med eksamener😵‍💫😵‍💫,2770,10.15,174.0,88,false,,Nike Vomero 18,activities/19146419099.fit.gz,,,2770.0,2764.0,10155.2,5.0,3.674,33.0,25.0,21.2,36.2,16.0,0.1,,,86.0,83.0,174.0,166.0,,481.0,847.0,,15.0,88.0,1331935.0,,,,,,,,484.0,2771.0,,,0.0,,1.0,10271.2,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,3.666,4223.4,,,,7688.0,0.0,,1019.0,364.0,3.716,,,0.0,0.0,,,,0.0,,,,""
18015377561,"Apr 7, 2026, 3:35:53 PM",Afternoon Run,Run,,3546,5.50,161.0,11,false,,Nike Vomero 18,activities/19116240140.fit.gz,,,3546.0,1729.0,5508.0,4.6,3.186,25.0,24.0,12.0,24.8,11.9,0.0,,,80.0,77.0,161.0,141.0,,417.0,450.0,,21.0,11.0,722166.0,,,,,,,,417.0,1739.0,,,0.0,,1.0,5592.4,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,1.553,987.9,,,,4450.0,0.0,,475.0,314.0,3.234,,,,,,,,,,,,""
17985476234,"Apr 5, 2026, 7:26:56 AM",Længste long run inden maraton,Run,Med trofaste [strava://athletes/149929281/13]Martin Howitz 🙏🏼🏴‍☠️,10600,32.00,169.0,193,false,,Nike Vomero 18,activities/19085956646.fit.gz,,,10600.0,10153.0,32003.0,5.92,3.152,268.0,277.0,4.8,30.0,48.9,0.0,,,85.0,80.0,169.0,153.0,,414.0,2724.0,,21.0,193.0,4200381.0,,,,,,,,410.0,10593.0,,,0.0,,1.0,33643.3,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,3.019,12716.2,,,,27146.0,0.0,,2793.0,308.0,3.314,,,0.0,0.0,,,,0.0,,,,media/977C34EA-AF03-4EB4-9F9D-929127EAADDF.jpg|media/29047074-9377-469E-9380-17359C8F085F.jpg
17966030871,"Apr 3, 2026, 5:06:30 PM",Evening Run,Run,Hvorfor fanden er netto ikke åbent??,5231,15.25,153.0,26,false,,Nike Vomero 18,activities/19066295244.fit.gz,,,5231.0,5231.0,15251.6,4.22,2.916,51.0,47.0,12.4,29.0,7.3,0.0,,,84.0,79.0,153.0,139.0,,377.0,1259.0,,17.0,26.0,1973251.0,,,,,,,,378.0,5232.0,,,0.0,,1.0,15371.1,,,,,,,,,,,,,,,,29275969.0,,,,,,,,,,,2.916,4897.0,,,,13866.0,0.0,,1173.0,284.0,2.938,,,0.0,0.0,,,,0.0,,,,""
